ID,X,Y,Home_Away,Type,Number,Period,Team,Shot_Type,Name,Game_ID,Olympics,Category,Date,Home_Team,Away_Team,Name_no_Accents,Name_with_Accents
1,24.02,-14.02,Home,Shot,12,1,Japan,SPG,OSAWA Chiho,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Chiho Osawa,Chiho Osawa
2,20.11,-8.54,Home,Shot,12,1,Japan,SSG,OSAWA Chiho,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Chiho Osawa,Chiho Osawa
3,21.29,-8.17,Home,Shot,21,1,Japan,SSG,KUBO Hanae,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Hanae Kubo,Hanae Kubo
4,12.74,-9.54,Home,Shot,2,1,Japan,SPG,KOIKE Shiori,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Shiori Koike,Shiori Koike
5,12.92,-6.8,Home,Shot,4,1,Japan,SSG,TOKO Ayaka,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Ayaka Toko,Ayaka Toko
6,25.48,-6.89,Home,Shot,14,1,Japan,SSG,TOKO Haruka,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Haruka Toko,Haruka Toko
7,26.11,-1.96,Home,Shot,8,1,Japan,SSG,HOSOYAMADA Akane,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Akane Hosoyamada,Akane Hosoyamada
8,23.48,-1.6,Home,Shot,19,1,Japan,SSG,SHISHIUCHI Miho,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Miho Shishiuchi,Miho Shishiuchi
9,23.39,-0.68,Home,Shot,21,1,Japan,SSG,KUBO Hanae,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Hanae Kubo,Hanae Kubo
10,23.48,0.78,Home,Shot,23,1,Japan,SPG,NAKAMURA Ami,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Ami Nakamura,Ami Nakamura
11,24.02,2.6,Home,Shot,18,1,Japan,SSG,TAKA Suzuka,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Suzuka Taka,Suzuka Taka
12,20.2,0.23,Home,Shot,13,1,Japan,SPG,FUJIMOTO Moeko,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Moeko Fujimoto,Moeko Fujimoto
13,19.66,4.25,Home,Shot,7,1,Japan,SPG,HORI Mika,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Mika Hori,Mika Hori
14,11.28,9.63,Away,Shot,2,1,Sweden,SPG,ALASALMI Emmy,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Emmy Alasalmi,Emmy Alasalmi
15,11.19,7.26,Away,Shot,8,1,Sweden,SPG,SVEDIN Annie,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Annie Svedin,Annie Svedin
16,7.1,11.92,Away,Shot,12,1,Sweden,SSG,NYLEN PERSSON Maja,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Maja Nylen Persson,Maja Nylén Persson
17,16.65,4.43,Away,Shot,16,1,Sweden,SSG,WINBERG Pernilla,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Pernilla Winberg,Pernilla Winberg
18,17.2,-1.78,Away,Shot,23,1,Sweden,SSG,STENBERG Rebecca,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Rebecca Stenberg,Rebecca Stenberg
19,23.29,0.05,Away,Shot,23,1,Sweden,SSG,STENBERG Rebecca,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Rebecca Stenberg,Rebecca Stenberg
20,23.57,-2.24,Away,Goal,20,1,Sweden,Goals,RASK Fanny,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Fanny Rask,Fanny Rask
21,25.3,-2.69,Away,Shot,20,1,Sweden,SSG,RASK Fanny,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Fanny Rask,Fanny Rask
22,19.38,-3.79,Away,Shot,23,1,Sweden,SPG,STENBERG Rebecca,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Rebecca Stenberg,Rebecca Stenberg
23,22.02,-4.7,Away,Shot,23,1,Sweden,SSG,STENBERG Rebecca,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Rebecca Stenberg,Rebecca Stenberg
24,9.19,-6.89,Away,Shot,20,1,Sweden,SSG,RASK Fanny,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Fanny Rask,Fanny Rask
25,-7.1,11.64,Home,Shot,21,1,Japan,SSG,KUBO Hanae,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Hanae Kubo,Hanae Kubo
26,17.11,13.56,Home,Shot,12,2,Japan,SSG,OSAWA Chiho,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Chiho Osawa,Chiho Osawa
27,9.83,10.64,Home,Shot,4,2,Japan,SPG,TOKO Ayaka,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Ayaka Toko,Ayaka Toko
28,13.1,7.44,Home,Shot,4,2,Japan,SPG,TOKO Ayaka,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Ayaka Toko,Ayaka Toko
29,14.92,7.72,Home,Shot,4,2,Japan,SSG,TOKO Ayaka,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Ayaka Toko,Ayaka Toko
30,10.19,1.78,Home,Shot,18,2,Japan,SSG,TAKA Suzuka,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Suzuka Taka,Suzuka Taka
31,11.65,0.78,Home,Shot,21,2,Japan,SSG,KUBO Hanae,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Hanae Kubo,Hanae Kubo
32,22.57,3.06,Home,Shot,14,2,Japan,SSG,TOKO Haruka,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Haruka Toko,Haruka Toko
33,19.38,0.32,Home,Shot,18,2,Japan,SPG,TAKA Suzuka,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Suzuka Taka,Suzuka Taka
34,18.02,1.14,Home,Shot,12,2,Japan,SSG,OSAWA Chiho,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Chiho Osawa,Chiho Osawa
35,24.2,-1.78,Home,Goal,15,2,Japan,Goals,UKITA Rui,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Rui Ukita,Rui Ukita
36,25.3,-4.15,Home,Shot,12,2,Japan,SSG,OSAWA Chiho,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Chiho Osawa,Chiho Osawa
37,19.29,-2.6,Home,Shot,8,2,Japan,SSG,HOSOYAMADA Akane,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Akane Hosoyamada,Akane Hosoyamada
38,19.29,-9.45,Home,Shot,15,2,Japan,SSG,UKITA Rui,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Rui Ukita,Rui Ukita
39,15.83,-10.82,Home,Shot,14,2,Japan,SSG,TOKO Haruka,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Haruka Toko,Haruka Toko
40,6.92,-12.19,Away,Shot,24,2,Sweden,SSG,GRAHM Erika,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Erika Grahm,Erika Grahm
41,11.01,-10.09,Away,Shot,2,2,Sweden,SSG,ALASALMI Emmy,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Emmy Alasalmi,Emmy Alasalmi
42,19.38,-6.35,Away,Shot,26,2,Sweden,SSG,OLSSON Hanna,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Hanna Olsson,Hanna Olsson
43,24.48,-3.15,Away,Shot,26,2,Sweden,SSG,OLSSON Hanna,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Hanna Olsson,Hanna Olsson
44,15.38,-4.34,Away,Shot,26,2,Sweden,SPG,OLSSON Hanna,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Hanna Olsson,Hanna Olsson
45,21.11,-3.24,Away,Shot,26,2,Sweden,SPG,OLSSON Hanna,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Hanna Olsson,Hanna Olsson
46,21.84,-2.97,Away,Shot,27,2,Sweden,SSG,NORDIN Emma,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Emma Nordin,Emma Nordin
47,19.56,-0.68,Away,Shot,18,2,Sweden,SSG,BORGQVIST Anna,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Anna Borgqvist,Anna Borgqvist
48,19.11,1.69,Away,Shot,18,2,Sweden,SPG,BORGQVIST Anna,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Anna Borgqvist,Anna Borgqvist
49,23.75,2.24,Away,Shot,21,2,Sweden,SSG,UDEN JOHANSSON Erica,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Erica Uden Johansson,Erica Udén Johansson
50,22.75,4.25,Away,Shot,16,2,Sweden,SPG,WINBERG Pernilla,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Pernilla Winberg,Pernilla Winberg
51,21.57,4.98,Away,Shot,16,2,Sweden,SSG,WINBERG Pernilla,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Pernilla Winberg,Pernilla Winberg
52,12.83,-0.41,Away,Shot,2,2,Sweden,SPG,ALASALMI Emmy,1,Pyeongchang,Group B,2018-02-10,Japan,Sweden,Emmy Alasalmi,Emmy Alasalmi
