ID,X,Y,Home_Away,Type,Number,Period,Team,Shot_Type,Name,Game_ID,Olympics,Category,Date,Home_Team,Away_Team,Name_no_Accents,Name_with_Accents
1,14.74,-7.17,Away,Shot,12,1,Kazakhstan,SSG,ADYYEVA Viktoriya,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Viktoriya Adyeva,Viktoriya Adyeva
2,18.65,0.41,Away,Shot,19,1,Kazakhstan,SSP,YAKOVCHUK Natalya,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Nataliya Yakovchuk,Nataliya Yakovchuk
3,17.84,1.78,Away,Shot,11,1,Kazakhstan,SSG,LOSYEVA Nadezhda,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Nadezhda Loseva,Nadezhda Loseva
4,15.11,2.97,Away,Shot,29,1,Kazakhstan,SSP,VASSINA Svetlana,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Svetlana Vasina,Svetlana Vasina
5,8.74,13.11,Home,Shot,5,1,Canada,SSP,SOSTORICS Colleen,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Colleen Sostorics,Colleen Sostorics
6,-10.01,-12.65,Away,Shot,19,1,Kazakhstan,SSG,YAKOVCHUK Natalya,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Nataliya Yakovchuk,Nataliya Yakovchuk
7,9.01,10.82,Home,Shot,6,1,Canada,SSP,BRISSON Therese,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Therese Brisson,Thérèse Brisson
8,16.93,11.1,Home,Shot,6,1,Canada,SSP,BRISSON Therese,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Therese Brisson,Thérèse Brisson
9,8.92,9,Home,Shot,5,1,Canada,SSP,SOSTORICS Colleen,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Colleen Sostorics,Colleen Sostorics
10,10.83,8.27,Home,Shot,5,1,Canada,SSP,SOSTORICS Colleen,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Colleen Sostorics,Colleen Sostorics
11,8.56,7.72,Home,Shot,23,1,Canada,SSG,ANTAL Dana,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Dana Antal,Dana Antal
12,9.74,5.89,Home,Shot,24,1,Canada,SSP,BECHARD Kelly,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Kelly Bechard,Kelly Bechard
13,9.01,-0.32,Home,Shot,4,1,Canada,SSP,KELLAR Becky,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Becky Kellar,Becky Kellar
14,8.65,-8.45,Home,Shot,91,1,Canada,SSP,HEANEY Geraldine,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Geraldine Heaney,Geraldine Heaney
15,13.2,-3.97,Home,Shot,61,1,Canada,SSP,SUNOHARA Vicky,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Vicky Sunohara,Vicky Sunohara
16,14.83,-5.52,Home,Shot,23,1,Canada,SSP,ANTAL Dana,1,Salt Lake City 2002,Group A,2002-02-11,Canada,Kazakhstan,Dana Antal,Dana Antal
