ID,X,Y,Home_Away,Type,Number,Period,Team,Shot_Type,Name,Game_ID,Olympics,Category,Date,Home_Team,Away_Team,Name_no_Accents,Name_with_Accents
1,10.22,1.03,Home,Shot,3,1,Finland,SSG,LAAKSONEN Emma,1,Torino,Group B,2006-02-11,Finland,Germany,Emma Laaksonen,Emma Laaksonen
2,13.13,4.22,Home,Shot,3,1,Finland,SPG,LAAKSONEN Emma,1,Torino,Group B,2006-02-11,Finland,Germany,Emma Laaksonen,Emma Laaksonen
3,13.67,4.86,Home,Shot,3,1,Finland,SPG,LAAKSONEN Emma,1,Torino,Group B,2006-02-11,Finland,Germany,Emma Laaksonen,Emma Laaksonen
4,8.95,6.69,Home,Shot,4,1,Finland,SSG,PELTTARI Heidi,1,Torino,Group B,2006-02-11,Finland,Germany,Heidi Pelttari,Heidi Pelttari
5,10.59,7.87,Home,Shot,4,1,Finland,SSG,PELTTARI Heidi,1,Torino,Group B,2006-02-11,Finland,Germany,Heidi Pelttari,Heidi Pelttari
6,11.22,10.15,Home,Shot,4,1,Finland,SSG,PELTTARI Heidi,1,Torino,Group B,2006-02-11,Finland,Germany,Heidi Pelttari,Heidi Pelttari
7,21.49,-3.25,Home,Goal,4,1,Finland,Goals,PELTTARI Heidi,1,Torino,Group B,2006-02-11,Finland,Germany,Heidi Pelttari,Heidi Pelttari
8,24.39,-13.28,Home,Shot,10,1,Finland,SPG,FISK Sari,1,Torino,Group B,2006-02-11,Finland,Germany,Sari Fisk,Sari Fisk
9,19.31,-0.24,Home,Shot,15,1,Finland,SSG,HOIKKALA Satu,1,Torino,Group B,2006-02-11,Finland,Germany,Satu Hoikkala,Satu Hoikkala
10,16.58,-9.91,Home,Shot,24,1,Finland,SSG,KOVALAINEN Kati,1,Torino,Group B,2006-02-11,Finland,Germany,Kati Kovalainen,Kati Kovalainen
11,15.49,1.22,Home,Shot,24,1,Finland,SPG,KOVALAINEN Kati,1,Torino,Group B,2006-02-11,Finland,Germany,Kati Kovalainen,Kati Kovalainen
12,15.58,-1.06,Home,Shot,25,1,Finland,SSG,PEHKONEN Mari,1,Torino,Group B,2006-02-11,Finland,Germany,Mari Pehkonen,Mari Pehkonen
13,25.57,0.3,Home,Goal,25,1,Finland,Goals,PEHKONEN Mari,1,Torino,Group B,2006-02-11,Finland,Germany,Mari Pehkonen,Mari Pehkonen
14,23.58,-0.24,Home,Shot,27,1,Finland,SSG,PALVILA Marja Helena,1,Torino,Group B,2006-02-11,Finland,Germany,Marja-Helena Palvila,Marja-Helena Pälvilä
15,15.13,-5.8,Away,Shot,14,1,Germany,SSG,SCHEYTT Anja,1,Torino,Group B,2006-02-11,Finland,Germany,Anja Scheytt,Anja Scheytt
16,21.12,4.59,Away,Shot,16,1,Germany,SSG,SOESILO Denise,1,Torino,Group B,2006-02-11,Finland,Germany,Denise Soesilo,Denise Soesilo
17,11.13,-3.71,Away,Shot,16,1,Germany,SSG,SOESILO Denise,1,Torino,Group B,2006-02-11,Finland,Germany,Denise Soesilo,Denise Soesilo
18,5.86,-3.34,Away,Shot,19,1,Germany,SSG,OSWALD Christina,1,Torino,Group B,2006-02-11,Finland,Germany,Christina Oswald,Christina Oswald
19,-1.78,-13.64,Away,Shot,19,1,Germany,SPG,OSWALD Christina,1,Torino,Group B,2006-02-11,Finland,Germany,Christina Oswald,Christina Oswald
20,23.58,-1.06,Away,Shot,21,1,Germany,SSG,LANZL Michaela,1,Torino,Group B,2006-02-11,Finland,Germany,Michaela Lanzl,Michaela Lanzl
21,8.41,-13.01,Away,Shot,23,1,Germany,SPG,KRUCK Sabrina,1,Torino,Group B,2006-02-11,Finland,Germany,Sabrina Kruck,Sabrina Kruck
22,1.68,-10.09,Away,Shot,23,1,Germany,SSG,KRUCK Sabrina,1,Torino,Group B,2006-02-11,Finland,Germany,Sabrina Kruck,Sabrina Kruck
23,16.22,7.42,Away,Shot,81,1,Germany,SSG,BECKER Maritta,1,Torino,Group B,2006-02-11,Finland,Germany,Maritta Becker,Maritta Becker
24,15.04,-7.81,Away,Shot,81,1,Germany,SPG,BECKER Maritta,1,Torino,Group B,2006-02-11,Finland,Germany,Maritta Becker,Maritta Becker
