ID,X,Y,Home_Away,Type,Number,Period,Team,Shot_Type,Name,Game_ID,Olympics,Category,Date,Home_Team,Away_Team,Name_no_Accents,Name_with_Accents
1,23.09,1.99,Home,Shot,2,1,Sweden,SSG,HOLMLOV Elin,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Elin Holmlov,Elin Holmlöv
2,13.61,6.84,Home,Shot,8,1,Sweden,SSG,HOLST Erika,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Erika Holst,Erika Holst
3,12.79,4.1,Home,Shot,16,1,Sweden,SSG,WINBERG Pernilla,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Pernilla Winberg,Pernilla Winberg
4,9.97,-11.09,Home,Shot,27,1,Sweden,SSG,NORDIN Emma,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Emma Nordin,Emma Nordin
5,24.18,-0.84,Home,Shot,28,1,Sweden,SSG,RUNDQVIST Danijela,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Danijela Rundqvist,Danijela Rundqvist
6,20.99,1.54,Home,Goal,28,1,Sweden,Goals,RUNDQVIST Danijela,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Danijela Rundqvist,Danijela Rundqvist
7,16.16,9.68,Home,Shot,28,1,Sweden,SSG,RUNDQVIST Danijela,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Danijela Rundqvist,Danijela Rundqvist
8,8.42,13.43,Home,Shot,3,1,Sweden,SSG,NEVALAINEN Frida,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Frida Nevalainen,Frida Nevalainen
9,14.34,10.69,Home,Shot,7,1,Sweden,SSG,ROOTH Maria,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Maria Rooth,Maria Rooth
10,11.97,11.24,Home,Shot,12,1,Sweden,SSG,JORDANSSON Isabelle,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Isabelle Jordansson,Isabelle Jordansson
11,20.9,-0.29,Home,Shot,15,1,Sweden,SSG,TIMGLAS Katarina,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Katarina Timglas,Katarina Timglas
12,21.36,-0.57,Away,Shot,7,1,Switzerland,SSG,LEIMGRUBER Darcia,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Darcia Leimgruber,Darcia Leimgruber
13,23.73,1.17,Away,Shot,20,1,Switzerland,SSG,LEHMANN Kathrin,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Kathrin Lehmann,Kathrin Lehmann
14,21.45,-12.01,Away,Shot,10,1,Switzerland,SSG,BULLO Nicole,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Nicole Bullo,Nicole Bullo
15,9.15,5.01,Away,Shot,2,1,Switzerland,SSG,NABHOLZ Katrin,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Katrin Nabholz,Katrin Nabholz
16,17.07,-4.14,Home,Shot,16,2,Sweden,SSG,WINBERG Pernilla,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Pernilla Winberg,Pernilla Winberg
17,22.72,3.27,Home,Shot,16,2,Sweden,SSG,WINBERG Pernilla,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Pernilla Winberg,Pernilla Winberg
18,11.52,7.21,Home,Shot,23,2,Sweden,SSG,ANDERSSON Gunilla,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Gunilla Andersson,Gunilla Andersson
19,25.64,-1.21,Home,Shot,25,2,Sweden,SSG,SVEDIN THUNSTROM Frida,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Frida Svedin Thunstrom,Frida Svedin Thunström
20,21.45,-9.63,Home,Shot,27,2,Sweden,SSG,NORDIN Emma,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Emma Nordin,Emma Nordin
21,23.63,-1.03,Home,Shot,12,2,Sweden,SSG,JORDANSSON Isabelle,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Isabelle Jordansson,Isabelle Jordansson
22,17.8,4.19,Home,Shot,15,2,Sweden,SSG,TIMGLAS Katarina,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Katarina Timglas,Katarina Timglas
23,21.99,1.17,Home,Goal,9,2,Sweden,Goals,ENSTROM Tina,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Tina Enstrom,Tina Enström
24,17.35,-3.41,Home,Shot,19,2,Sweden,SSG,MYREN Klara,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Klara Myren,Klara Myrén
25,14.71,8.49,Home,Shot,19,2,Sweden,SSG,MYREN Klara,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Klara Myren,Klara Myrén
26,15.34,9.77,Home,Shot,19,2,Sweden,SSG,MYREN Klara,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Klara Myren,Klara Myrén
27,21.99,1.35,Away,Shot,7,2,Switzerland,SSG,LEIMGRUBER Darcia,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Darcia Leimgruber,Darcia Leimgruber
28,18.99,8.13,Away,Shot,9,2,Switzerland,SSG,MARTY Stefanie,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Stefanie Marty,Stefanie Marty
29,20.45,-7.07,Away,Shot,20,2,Switzerland,SSG,LEHMANN Kathrin,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Kathrin Lehmann,Kathrin Lehmann
30,24,-0.48,Away,Shot,21,2,Switzerland,SSG,BENZ Laura,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Laura Benz,Laura Benz
31,16.98,-8.71,Away,Shot,13,2,Switzerland,SSG,BENZ Sara,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Sara Benz,Sara Benz
32,11.24,-7.07,Home,Shot,10,3,Sweden,SSG,ANDERSSON Emilia,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Emilia Andersson,Emilia Andersson
33,18.99,-3.68,Home,Shot,16,3,Sweden,SSG,WINBERG Pernilla,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Pernilla Winberg,Pernilla Winberg
34,21.99,1.72,Home,Shot,16,3,Sweden,SSG,WINBERG Pernilla,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Pernilla Winberg,Pernilla Winberg
35,16.8,4.92,Home,Shot,16,3,Sweden,SSG,WINBERG Pernilla,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Pernilla Winberg,Pernilla Winberg
36,22.91,2.45,Home,Goal,13,3,Sweden,Goals,UDEN JOHANSSON Erica,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Erica Uden Johansson,Erica Udén Johansson
37,10.79,9.77,Home,Shot,28,3,Sweden,SSG,RUNDQVIST Danijela,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Danijela Rundqvist,Danijela Rundqvist
38,20.9,2.63,Home,Shot,28,3,Sweden,SSG,RUNDQVIST Danijela,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Danijela Rundqvist,Danijela Rundqvist
39,17.26,-11.19,Home,Shot,28,3,Sweden,SSG,RUNDQVIST Danijela,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Danijela Rundqvist,Danijela Rundqvist
40,10.33,10.6,Home,Shot,3,3,Sweden,SSG,NEVALAINEN Frida,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Frida Nevalainen,Frida Nevalainen
41,22.09,-1.94,Home,Shot,3,3,Sweden,SSG,NEVALAINEN Frida,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Frida Nevalainen,Frida Nevalainen
42,18.35,-7.43,Home,Shot,9,3,Sweden,SSG,ENSTROM Tina,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Tina Enstrom,Tina Enström
43,22.72,-2.67,Home,Shot,9,3,Sweden,SSG,ENSTROM Tina,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Tina Enstrom,Tina Enström
44,18.44,3.27,Away,Shot,9,3,Switzerland,SSG,MARTY Stefanie,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Stefanie Marty,Stefanie Marty
45,18.35,0.62,Away,Shot,9,3,Switzerland,SSG,MARTY Stefanie,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Stefanie Marty,Stefanie Marty
46,23.82,-1.39,Away,Shot,13,3,Switzerland,SSG,BENZ Sara,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Sara Benz,Sara Benz
47,25.09,1.44,Away,Shot,13,3,Switzerland,SSG,BENZ Sara,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Sara Benz,Sara Benz
48,19.35,8.22,Away,Shot,29,3,Switzerland,SSG,HAFLIGER Melanie,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Melanie Hafliger,Melanie Häfliger
49,11.24,1.08,Away,Shot,2,3,Switzerland,SSG,NABHOLZ Katrin,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Katrin Nabholz,Katrin Nabholz
50,24.64,-1.3,Away,Shot,86,3,Switzerland,SSG,RIECHSTEINER Claudia,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Claudia Riechsteiner,Claudia Riechsteiner
51,18.75,11.37,Away,Shot,6,1,Switzerland,SPG,MARTY Julia,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Julia Marty,Julia Marty
52,16.56,-3.79,Home,Shot,2,1,Sweden,SPG,HOLMLOV Elin,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Elin Holmlov,Elin Holmlöv
53,14.74,-2.51,Home,Shot,15,1,Sweden,SPG,TIMGLAS Katarina,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Katarina Timglas,Katarina Timglas
54,1.46,-9.63,Home,Shot,23,1,Sweden,SPG,ANDERSSON Gunilla,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Gunilla Andersson,Gunilla Andersson
55,17.65,-5.43,Home,Shot,11,1,Sweden,SPG,OSTBERG Cecilia,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Cecilia Ostberg,Cecilia Östberg
56,17.56,-12.37,Home,Shot,27,2,Sweden,SPG,NORDIN Emma,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Emma Nordin,Emma Nordin
57,22.2,-4.34,Home,Shot,2,2,Sweden,SPG,HOLMLOV Elin,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Elin Holmlov,Elin Holmlöv
58,19.66,4.16,Home,Shot,2,2,Sweden,SPG,HOLMLOV Elin,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Elin Holmlov,Elin Holmlöv
59,13.65,7.53,Home,Shot,8,2,Sweden,SPG,HOLST Erika,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Erika Holst,Erika Holst
60,9.28,11.55,Home,Shot,23,2,Sweden,SPG,ANDERSSON Gunilla,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Gunilla Andersson,Gunilla Andersson
61,16.56,5.07,Away,Shot,20,2,Switzerland,SPG,LEHMANN Kathrin,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Kathrin Lehmann,Kathrin Lehmann
62,18.93,-0.5,Away,Shot,13,2,Switzerland,SPG,BENZ Sara,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Sara Benz,Sara Benz
63,5.83,-1.51,Away,Shot,11,2,Switzerland,SPG,FRAUTSCHI Angela,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Angela Frautschi,Angela Frautschi
64,11.83,9,Home,Shot,28,3,Sweden,SPG,RUNDQVIST Danijela,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Danijela Rundqvist,Danijela Rundqvist
65,16.56,3.88,Home,Shot,22,3,Sweden,SPG,ELIASSON Emma,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Emma Eliasson,Emma Eliasson
66,21.84,-8.81,Away,Shot,11,3,Switzerland,SPG,FRAUTSCHI Angela,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Angela Frautschi,Angela Frautschi
67,13.01,4.79,Away,Shot,6,3,Switzerland,SPG,MARTY Julia,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Julia Marty,Julia Marty
68,21.11,1.42,Away,Shot,29,3,Switzerland,SPG,HAFLIGER Melanie,1,Vancouver,Group A,2010-02-13,Sweden,Switzerland,Melanie Hafliger,Melanie Häfliger
69,14.74,-7.62,Away,Shot,6,1,Slovakia,SPG,KAPUSTOVA Jana,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Jana Kapustova,Jana Kapustová
70,19.2,-3.33,Away,Shot,6,1,Slovakia,SSG,KAPUSTOVA Jana,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Jana Kapustova,Jana Kapustová
71,25.84,-1.87,Away,Shot,6,1,Slovakia,SSG,KAPUSTOVA Jana,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Jana Kapustova,Jana Kapustová
72,11.56,-1.41,Away,Shot,19,1,Slovakia,SPG,KARAFIATOVA Iveta,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Iveta Karafiatova,Iveta Karafiátová
73,21.84,2.06,Away,Shot,6,1,Slovakia,SPG,KAPUSTOVA Jana,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Jana Kapustova,Jana Kapustová
74,21.02,3.52,Away,Shot,3,1,Slovakia,SSG,CUPKOVA Nicol,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Nicol Cupkova,Nicol Čupková
75,25.3,7.08,Away,Shot,15,1,Slovakia,SSG,MATEJOVA Michaela,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Michaela Matejova,Michaela Matejová
76,11.01,-13.1,Home,Shot,10,1,Canada,SSG,APPS Gillian,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Gillian Apps,Gillian Apps
77,9.1,-11.92,Home,Shot,21,1,Canada,SSG,IRWIN Haley,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Haley Irwin,Haley Irwin
78,10.1,-11.09,Home,Shot,4,1,Canada,SPG,KELLAR Becky,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Becky Kellar,Becky Kellar
79,23.84,-10.91,Home,Goal,3,1,Canada,Goals,MACLEOD Carla,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Carla MacLeod,Carla MacLeod
80,21.2,-6.71,Home,Shot,29,1,Canada,SPG,POULIN Marie-Philip,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Marie-Philip Poulin,Marie-Philip Poulin
81,23.11,-5.62,Home,Shot,27,1,Canada,SSG,KINGSBURY Gina,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Gina Kingsbury,Gina Kingsbury
82,25.3,-5.62,Home,Shot,25,1,Canada,SPG,BONHOMME Tessa,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Tessa Bonhomme,Tessa Bonhomme
83,24.11,-3.79,Home,Goal,2,1,Canada,Goals,AGOSTA Meghan,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Meghan Agosta,Meghan Agosta
84,23.29,-2.97,Home,Shot,6,1,Canada,SSG,JOHNSTON Rebecca,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Rebecca Johnston,Rebecca Johnston
85,21.66,-2.15,Home,Shot,22,1,Canada,SSG,WICKENHEISER Hayley,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Hayley Wickenheiser,Hayley Wickenheiser
86,23.11,-1.6,Home,Shot,22,1,Canada,SSG,WICKENHEISER Hayley,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Hayley Wickenheiser,Hayley Wickenheiser
87,19.66,-1.78,Home,Shot,7,1,Canada,SSG,PIPER Cherie,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Cherie Piper,Cherie Piper
88,21.29,0.14,Home,Shot,16,1,Canada,SSG,HEFFORD Jayna,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Jayna Hefford,Jayna Hefford
89,19.11,0.23,Home,Shot,2,1,Canada,SPG,AGOSTA Meghan,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Meghan Agosta,Meghan Agosta
90,16.2,-1.6,Home,Shot,18,1,Canada,SSP,WARD Catherine,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Catherine Ward,Catherine Ward
91,16.74,-3.97,Home,Shot,6,1,Canada,SPG,JOHNSTON Rebecca,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Rebecca Johnston,Rebecca Johnston
92,15.47,-5.43,Home,Shot,17,1,Canada,SSG,BOTTERILL Jennifer,2,Vancouver,Group A,2010-02-12,Canada,Slovakia,Jennifer Botterill,Jennifer Botterill
